x,y,cell,longitude,latitude,hadsst_winter_cellmean,hadsst_spring_cellmean,hadsst_summer_cellmean,hadsst_fall_cellmean,lag_hadsst_summer_cellmean
-70.5,43.5,492,-70.736,43.112,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.63,43.118,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.622224,43.070829,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.621,43.134,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.618,43.141,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.608241,43.071741,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.60603,43.00588,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.604214,43.001839,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.597,43.00497,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.592358,43.166109,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.591034,43.164158,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.47571,43.121676,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.30401,43.52791,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.30323,43.53576,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.3032,43.5358,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.223764,43.653528,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.08436,43.68669,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.0828,43.6915,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-70.5,43.5,492,-70.082733,43.687002,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
-69.5,43.5,493,-69.96087,43.76509,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.95305,43.76074,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.9514,43.7651,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.9469,43.7158,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.9402,43.71212,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.9402,43.7159,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6743,43.79336,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6743,43.7934,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6682,43.7934,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.64226,43.82497,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6401,43.82947,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.63938,43.82462,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6188,43.82211,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6167,43.8287,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.61182,43.820496,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6031,43.79359,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.6022,43.76666,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
-69.5,43.5,493,-69.60166,43.7933,5.6097759744856095,5.658404089309074,16.11249639751675,13.040394658440942,16.11249639751675
